Country Code,Post,Comment,Date,Sentiment_Value,Sentiment
ESP,Metro de Madrid XD,Ok?,2023-03-29 16:36:48,0.5,Positive
ESP,Metro de Madrid XD,I don't get it either,2023-03-30 07:52:36,0.0,Neutral
ESP,Metro de Madrid XD,It's a great reference,2023-03-30 20:25:19,0.8,Positive
ESP,"Brutal agresión tránsfoba en el metro de Barcelona: ""Compórtate, mierda. Te voy a matar""","It is repugnant that one cannot live peacefully without his/her existence bothering someone. It's no longer ideology or politics, it's fucking empathy. Let's see if I'm going to start handing out cakes to everyone who doesn't like potato omelette without onion, since it has ""always"" been with onion!",2023-06-13 08:22:53,-0.12121212121212122,Negative
ESP,"Brutal agresión tránsfoba en el metro de Barcelona: ""Compórtate, mierda. Te voy a matar""",The hatred sown by the extreme right has these consequences.,2023-06-12 05:13:30,0.08035714285714285,Positive
ESP,"Brutal agresión tránsfoba en el metro de Barcelona: ""Compórtate, mierda. Te voy a matar""","Hahahahaha of course because it only happens in Spain, they have sold you the political story",2023-06-12 10:23:46,0.06666666666666667,Positive
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',First world problems,2023-03-20 03:10:40,0.25,Positive
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',Oh god. Listening to that girl talking gave me cancer in my ear.,2023-03-20 09:29:00,0.0,Neutral
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',[deleted],2023-03-19 19:44:04,0.0,Neutral
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',This generation can't do much more.,2023-03-19 20:34:09,0.5,Positive
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',🤣,2023-03-20 08:43:58,0.0,Neutral
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',🤣🤣,2023-03-23 07:40:52,0.0,Neutral
ESP,Una turista se tatúa la estación de metro de 'Besòs Mar' creyendo que significaba 'mar de besos',🤣🤣🤣,2023-03-23 07:41:05,0.0,Neutral
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,We make it difficult for the world today.,2022-08-08 08:39:15,-0.5,Negative
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,"The Atocha station, this morning, was packed with people who couldn't catch the bird in that direction.",2022-08-08 08:14:27,0.0,Neutral
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,Wow,2022-08-08 10:45:23,0.1,Positive
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,https://youtu.be/g706-S65SVE,2022-08-08 10:55:09,0.0,Neutral
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,The surprising thing is that it was 600 meters.,2022-08-09 01:07:13,0.7,Positive
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,You have a few accents left over.,2022-08-08 12:04:20,-0.1,Negative
ESP,Un detenido en Tarragona por el robo de 600 metros de cable que ha provocado la suspensión de toda la línea del AVE entre Madrid y Cataluña,Maybe u/sr-kuro—thief!—bought a lot of diacritics by selling them stolen power lines.,2022-08-08 20:56:47,0.0,Neutral
ESP,"Las clases presenciales, mascarillas y distancia de hasta 1,2 metros se mantienen para esta 'vuelta al cole'","I don't think it will take more than 10 years for educational institutions (despite the titanic effort they make to ""adapt"" to new times) to stop being part of the students' daily lives. Education is already immersed in another paradigm completely different from what it was not more than 5 years ago...well...we are still anchored in whether we should give more mathematics or more English...and that is not the underlying problem .",2021-11-13 03:27:31,0.20454545454545453,Positive
ESP,Dos grandes unidos 😂😂😂,stellar disappearance,2023-10-27 11:32:04,0.25,Positive
ESP,Dos grandes unidos 😂😂😂,The staff as if nothing had happened 🤷‍♂️,2023-10-27 15:08:22,0.0,Neutral
ESP,Dos grandes unidos 😂😂😂,"Mothers! That guy is almost 2 meters long, so how deep will that fall be 🤯",2023-10-29 02:54:25,-0.025,Negative
ESP,Dos grandes unidos 😂😂😂,hahahahaha haha ​​Madrid!,2023-10-30 01:53:07,0.225,Positive
ESP,Dos grandes unidos 😂😂😂,He CLEARLY didn't see the step.,2023-10-30 10:57:52,0.10000000000000002,Positive
ESP,Dos grandes unidos 😂😂😂,HALAAAAA 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆,2023-10-30 08:27:04,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"Ah yes, the blowjob while driving, what memories! Don't do it kids, one bad brake and you're left without a cylinder! Wait until you get home and there you can fuck in peace.",2023-08-19 17:04:28,-0.36666666666666664,Negative
ESP,Conducir de forma temeraria en Ávila. Todo normal.,€500 blowjob and 6 points.,2023-08-19 16:25:43,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"-""Word I hadn't realized, agent.""",2023-08-19 18:29:43,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,Underpants lowered and penis erect. How well they saw it.... 😏🥒 😂🤣,2023-08-19 20:13:27,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,eee-- ortiva..... give it 5 more minutes....!!!,2023-08-19 19:39:29,0.9765625,Positive
ESP,Conducir de forma temeraria en Ávila. Todo normal.,worth the €250 though right?!,2023-08-20 03:06:34,0.3285714285714285,Positive
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"I don't understand, does it stop or not?",2023-08-19 14:55:08,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"> Growing sense

Yes, yes, it was growing",2023-08-19 17:45:28,0.0,Neutral
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"If you stop, you have to pay a fine because if not, the record is wrong and the sanction is void.",2023-08-19 16:20:01,-0.04166666666666666,Negative
ESP,Conducir de forma temeraria en Ávila. Todo normal.,Thought this was only 4 points.  Glad it was not on the written  test.,2023-08-19 19:15:14,0.25,Positive
ESP,Conducir de forma temeraria en Ávila. Todo normal.,As long as I wasn't wearing flip flops,2023-08-19 21:34:56,-0.05,Negative
ESP,Conducir de forma temeraria en Ávila. Todo normal.,"Remember, fucking is illegal if you are driving.",2023-08-19 22:29:10,-0.5,Negative
ESP,Conducir de forma temeraria en Ávila. Todo normal.,Police being a police,2023-08-19 22:38:41,0.0,Neutral
